mean,std,max,min,energy_sum,spikes,fft_peak,label,run
1273482.240499554,122059.67686305587,2288447,905210,7137867958,281,2775,tinyeffnet,8
1286389.8383698843,165547.71735635088,2695489,864683,7449483554,290,2817,tinyeffnet,9
1056309.826577263,84450.98114742825,2931572,867552,3465752541,164,473,firenetmini,0
1055936.6972841013,87186.94204781458,3099907,771604,3460304557,164,462,firenetmini,1
1057147.20464974,84981.5580836255,2662530,851378,3455814212,164,1,firenetmini,2
1059460.6716876728,81722.86057868785,2349237,866453,3446425565,163,530,firenetmini,3
1060046.688399143,80564.86780712135,1984125,866942,3463172531,164,530,firenetmini,4
1061203.6038025145,80804.22006981891,2338434,863096,3460584952,163,463,firenetmini,5
1056963.8375572518,80943.0703187558,2108393,846982,3461556568,164,500,firenetmini,6
1056461.774992357,82642.4791096041,2705315,862669,3455686466,164,468,firenetmini,7
1056423.7224924013,89628.56240839882,3163688,852537,3475634047,165,498,firenetmini,8
1056999.1392560713,99219.12599782611,3840628,858030,3438418200,163,526,firenetmini,9
993032.9261775363,73320.6424107488,2153192,816526,2192616701,111,8,tinycnn,0
989409.0929183582,79028.3366907804,2330683,813413,2193519959,111,99,tinycnn,1
990255.0103697025,68848.0141188244,1714107,748533,2196385613,111,672,tinycnn,2
996894.2410349523,84243.9172078841,2465081,778135,2196158013,111,11,tinycnn,3
986294.2426702752,66175.6527727026,2075190,812620,2186614336,111,335,tinycnn,4
991342.7538185086,74400.62037606144,2312372,821714,2206728970,112,336,tinycnn,5
996609.8870235934,74602.8319049312,1894526,791990,2196528191,111,5,tinycnn,6
995684.6496383364,79408.8705866249,2416559,813047,2202454445,111,12,tinycnn,7
988813.0518953069,73348.4991739802,2580804,819517,2191209723,111,335,tinycnn,8
992579.3122171946,74838.4663020965,2468011,785215,2193600280,111,8,tinycnn,9
991758.0254194204,80825.49350136415,2643609,795530,1950788036,99,20,microcnn,0
989729.2021384928,74171.42483204333,1899165,853086,1943828153,99,36,microcnn,1
986157.9944020356,76328.55615716589,2610833,847593,1937800459,99,297,microcnn,2
985109.8283392586,77447.15475264951,2716484,798581,1939681252,99,294,microcnn,3
985569.4183206107,68886.74844679919,1582211,837827,1936643907,99,4,microcnn,4
989334.4650455927,84136.56167201267,2521417,806456,1952946234,99,0,microcnn,5
985813.9686234818,69647.68061257723,2225336,852842,1947968402,99,297,microcnn,6
990337.5744032504,77328.64642604302,1937556,802611,1949974684,99,29,microcnn,7
985818.4589665653,77738.80827117548,2451227,786741,1946005638,98,298,microcnn,8
987103.4492167762,75759.57704183798,1967524,763975,1953477726,99,5,microcnn,9
1024749.6170483461,82624.19712532406,2298883,804441,2416359597,118,424,dsconv,0
1023977.2118644068,86416.4855676043,2406366,833494,2416586220,117,472,dsconv,1
1023567.2131634819,87364.56688178585,2724786,832273,2410500787,118,448,dsconv,2
1024889.9855010661,83176.78420419215,2408624,849485,2403367016,117,451,dsconv,3
1029056.2373242438,87910.343964123,2129511,830198,2415194989,118,10,dsconv,4
